,TCGA-BR-8059-01A-11R-2343-13,TCGA-CD-8528-01A-11R-2343-13,TCGA-RD-A8N9-01A-12R-A39E-31,TCGA-BR-7851-11A-01R-2203-13,TCGA-BR-6563-01A-13R-2055-13,TCGA-BR-6454-01A-11R-1802-13,TCGA-BR-8364-01A-11R-2343-13,TCGA-D7-6522-01A-11R-1802-13,TCGA-BR-8589-01A-11R-2402-13,TCGA-CD-A48C-01A-11R-A24K-31,TCGA-BR-8483-01A-31R-2402-13,TCGA-CD-A4MG-01A-11R-A251-31,TCGA-BR-6455-01A-11R-1802-13,TCGA-VQ-A928-01A-11R-A414-31,TCGA-VQ-AA6A-01A-11R-A414-31,TCGA-FP-7916-01A-11R-2203-13,TCGA-HU-A4G9-01A-11R-A24K-31,TCGA-HU-8610-01A-22R-2402-13,TCGA-VQ-A8PQ-01A-11R-A414-31,TCGA-HU-A4GH-01A-11R-A24K-31,TCGA-HU-A4GD-01A-11R-A36D-31,TCGA-D7-A4YX-01A-11R-A251-31,TCGA-IN-AB1X-11A-21R-A39E-31,TCGA-CD-8535-01A-11R-2343-13,TCGA-HU-A4H2-01A-11R-A251-31,TCGA-RD-A8N1-01A-12R-A36D-31,TCGA-FP-7829-01A-11R-2055-13,TCGA-IN-A7NU-01A-22R-A354-31,TCGA-VQ-A94P-01A-13R-A414-31,TCGA-CD-8531-01A-11R-2343-13,TCGA-BR-8369-01A-11R-2343-13,TCGA-CD-5800-01A-11R-1602-13,TCGA-VQ-A8PP-01A-21R-A414-31,TCGA-BR-8484-01A-11R-2402-13,TCGA-CD-8530-01A-11R-2343-13,TCGA-RD-A8N5-01A-12R-A36D-31,TCGA-BR-6564-01A-12R-1884-13,TCGA-HU-A4GH-11A-11R-A36D-31,TCGA-CD-8529-01A-11R-2343-13,TCGA-F1-6874-01A-11R-1884-13,TCGA-D7-8574-01A-13R-2343-13,TCGA-BR-4267-01A-01R-1131-13,TCGA-R5-A7ZI-01A-11R-A354-31,TCGA-BR-7957-01A-11R-2203-13,TCGA-D7-6818-01A-11R-1884-13,TCGA-HF-A5NB-01A-11R-A31P-31,TCGA-BR-A4J9-01A-12R-A251-31,TCGA-BR-8679-01A-11R-2402-13,TCGA-D7-8573-01A-11R-2343-13,TCGA-KB-A93G-01A-11R-A39E-31,TCGA-VQ-A8P3-01A-11R-A36D-31,TCGA-VQ-AA6D-01A-11R-A414-31,TCGA-BR-6456-01A-11R-1802-13,TCGA-VQ-A8DV-01A-12R-A36D-31,TCGA-VQ-A922-01A-11R-A414-31,TCGA-HU-A4GF-01A-11R-A24K-31,TCGA-RD-A7BS-01A-11R-A32D-31,TCGA-CG-4306-01A-01R-1157-13,TCGA-VQ-A8PB-01A-11R-A39E-31,TCGA-VQ-A8E0-01A-11R-A414-31,TCGA-D7-A6EX-01A-11R-A31P-31,TCGA-D7-A6EZ-01A-11R-A31P-31,TCGA-VQ-A94R-01A-11R-A414-31,TCGA-CG-5730-11A-01R-1602-13,TCGA-VQ-A8PF-01A-11R-A414-31,TCGA-D7-6815-01A-11R-1884-13,TCGA-BR-8382-01A-11R-2402-13,TCGA-CG-4442-01A-01R-1157-13,TCGA-BR-4279-01A-01R-1131-13,TCGA-BR-6453-01A-11R-1802-13,TCGA-BR-6709-01A-11R-1884-13,TCGA-CG-4438-01A-01R-1157-13,TCGA-B7-A5TK-01A-12R-A36D-31,TCGA-CD-A4MH-01A-11R-A251-31,TCGA-CG-4441-01A-01R-1802-13,TCGA-D7-6524-01A-11R-1802-13,TCGA-BR-A4PF-01A-11R-A251-31,TCGA-BR-6803-01A-11R-1884-13,TCGA-FP-8210-01A-11R-2343-13,TCGA-VQ-A8PE-01A-11R-A414-31,TCGA-D7-6526-01A-11R-1802-13,TCGA-BR-8486-01A-31R-2402-13,TCGA-R5-A7ZE-01B-11R-A354-31,TCGA-MX-A666-01A-11R-A31P-31,TCGA-D7-8572-01A-11R-2343-13,TCGA-VQ-AA64-01A-11R-A414-31,TCGA-CG-4443-01A-01R-1157-13,TCGA-VQ-A8DZ-01A-11R-A36D-31,TCGA-SW-A7EA-01A-12R-A354-31,TCGA-D7-A747-01A-22R-A33Y-31,TCGA-FP-7998-01A-11R-2203-13,TCGA-HU-8249-01A-11R-A36D-31,TCGA-CG-5718-01A-11R-1602-13,TCGA-RD-A8N0-01A-12R-A36D-31,TCGA-BR-6566-01A-11R-1802-13,TCGA-BR-8683-01A-11R-2402-13,TCGA-D7-5577-01A-01R-1602-13,TCGA-VQ-A91S-01A-11R-A414-31,TCGA-BR-6705-01A-12R-1884-13,TCGA-BR-8080-01A-11R-2343-13,TCGA-VQ-A91U-01A-11R-A414-31,TCGA-HU-A4GC-11A-11R-A251-31,TCGA-BR-8077-01A-11R-2343-13,TCGA-VQ-A8E2-01A-11R-A36D-31,TCGA-IN-7806-01A-11R-2055-13,TCGA-IP-7968-01A-11R-2203-13,TCGA-VQ-A8E7-01B-11R-A414-31,TCGA-D7-8570-01A-11R-2343-13,TCGA-BR-8677-01A-11R-2402-13,TCGA-BR-4367-01A-01R-1157-13,TCGA-BR-6457-01A-21R-1802-13,TCGA-CG-5732-01A-11R-1602-13,TCGA-CD-A489-01A-11R-A24K-31,TCGA-D7-6521-01A-11R-1802-13,TCGA-BR-6852-01A-11R-1884-13,TCGA-BR-7704-01A-11R-2055-13,TCGA-D7-A6EV-01A-11R-A31P-31,TCGA-CG-5720-01A-11R-1602-13,TCGA-D7-A6F2-01A-12R-A31P-31,TCGA-FP-8631-01A-11R-2402-13,TCGA-IN-A6RS-01A-12R-A354-31,TCGA-HU-A4GX-01A-12R-A251-31,TCGA-CG-4465-01A-01R-1157-13,TCGA-RD-A8MV-01A-11R-A36D-31,TCGA-HU-8244-01A-11R-2343-13,TCGA-VQ-A91Q-01A-12R-A414-31,TCGA-VQ-A91X-01A-12R-A414-31,TCGA-BR-8592-01A-11R-2402-13,TCGA-F1-A72C-01A-21R-A33Y-31,TCGA-BR-7717-11A-01R-2055-13,TCGA-HU-A4HD-01A-11R-A251-31,TCGA-BR-4201-01A-01R-1131-13,TCGA-BR-8371-01A-11R-2343-13,TCGA-IN-8462-01A-11R-2343-13,TCGA-BR-7723-01A-11R-2055-13,TCGA-RD-A8NB-01A-12R-A39E-31,TCGA-HU-A4HB-11A-11R-A251-31,TCGA-BR-7717-01A-11R-2055-13,TCGA-BR-6565-01A-11R-1802-13,TCGA-CG-5721-11A-01R-1602-13,TCGA-BR-7704-11A-01R-2055-13,TCGA-HU-A4G8-01A-11R-A251-31,TCGA-CD-5798-01A-11R-1602-13,TCGA-VQ-A8P5-01A-11R-A39E-31,TCGA-BR-6707-01A-11R-1884-13,TCGA-CG-5721-01A-11R-1602-13,TCGA-BR-A4J6-01A-11R-A251-31,TCGA-BR-8686-01A-11R-2402-13,TCGA-CD-A487-01A-21R-A24K-31,TCGA-IN-A6RI-01A-11R-A32D-31,TCGA-IN-A6RN-01A-12R-A33Y-31,TCGA-VQ-A91Y-01A-11R-A414-31,TCGA-CG-4476-01A-01R-1157-13,TCGA-VQ-A8PU-01A-12R-A414-31,TCGA-D7-5578-01A-01R-1602-13,TCGA-VQ-A8PK-01A-12R-A414-31,TCGA-ZA-A8F6-01A-23R-A36D-31,TCGA-BR-8284-01A-11R-2343-13,TCGA-FP-7829-11A-01R-2055-13,TCGA-BR-6453-11A-01R-1802-13,TCGA-BR-8373-01A-11R-2343-13,TCGA-B7-A5TI-01A-11R-A31P-31,TCGA-HU-A4GN-11A-12R-A251-31,TCGA-D7-A4Z0-01A-22R-A251-31,TCGA-CD-5803-01A-11R-1602-13,TCGA-VQ-A94T-01A-11R-A414-31,TCGA-IN-A7NR-01A-11R-A354-31,TCGA-B7-5818-01A-11R-1602-13,TCGA-BR-8060-01A-11R-2343-13,TCGA-IN-AB1X-01A-11R-A39E-31,TCGA-BR-6802-01A-11R-1884-13,TCGA-CG-4475-01A-01R-1157-13,TCGA-MX-A663-01A-11R-A31P-31,TCGA-BR-8487-01A-11R-2402-13,TCGA-BR-8361-01A-11R-2343-13,TCGA-R5-A7ZR-01A-11R-A354-31,TCGA-BR-7715-01A-11R-2055-13,TCGA-FP-8211-01A-11R-2343-13,TCGA-F1-A448-01A-11R-A24K-31,TCGA-HU-A4HB-01A-12R-A251-31,TCGA-HF-7134-01A-11R-2055-13,TCGA-BR-8588-01A-11R-2402-13,TCGA-VQ-AA6G-01A-11R-A414-31,TCGA-VQ-A94U-01A-12R-A414-31,TCGA-BR-8690-01A-11R-2402-13,TCGA-BR-8381-01A-11R-2402-13,TCGA-VQ-A923-01A-11R-A414-31,TCGA-HU-A4H6-01A-11R-A251-31,TCGA-BR-A4J7-01A-31R-A251-31,TCGA-CG-4444-01A-01R-1157-13,TCGA-D7-8575-01A-11R-2343-13,TCGA-VQ-A92D-01A-11R-A414-31,TCGA-FP-8099-01A-11R-2343-13,TCGA-VQ-A8DT-01A-11R-A36D-31,TCGA-HU-8604-01A-11R-2402-13,TCGA-BR-4294-01A-01R-1131-13,TCGA-BR-8682-01A-11R-2402-13,TCGA-BR-4191-01A-02R-1131-13,TCGA-BR-4368-01A-01R-1157-13,TCGA-CG-4477-01A-01R-1157-13,TCGA-MX-A5UG-01A-21R-A31P-31,TCGA-VQ-A927-01A-12R-A414-31,TCGA-BR-7716-01A-21R-2055-13,TCGA-IN-8663-01A-11R-2402-13,TCGA-RD-A8N4-01A-21R-A36D-31,TCGA-HU-A4GC-01A-12R-A251-31,TCGA-BR-7707-01A-11R-2055-13,TCGA-BR-8291-01A-11R-2343-13,TCGA-VQ-A91Z-01A-11R-A414-31,TCGA-BR-4256-01A-01R-1131-13,TCGA-BR-7716-11A-01R-2055-13,TCGA-BR-A4CS-01A-11R-A24K-31,TCGA-HU-A4H3-01A-21R-A251-31,TCGA-CG-5723-01A-11R-1602-13,TCGA-D7-6822-01A-11R-1884-13,TCGA-BR-4371-01A-01R-1157-13,TCGA-VQ-A94O-01A-11R-A414-31,TCGA-HU-A4GY-11A-11R-A36D-31,TCGA-FP-7735-11A-01R-2055-13,TCGA-MX-A5UJ-01A-11R-A31P-31,TCGA-BR-6452-01A-12R-1802-13,TCGA-HU-A4G2-01A-11R-A251-31,TCGA-BR-4187-01A-01R-1131-13,TCGA-HF-7131-01A-11R-2055-13,TCGA-CG-5717-01A-11R-1602-13,TCGA-D7-A6EY-01A-21R-A31P-31,TCGA-BR-8058-01A-31R-2343-13,TCGA-BR-8081-01A-11R-2343-13,TCGA-D7-6520-01A-11R-1802-13,TCGA-CG-5716-01A-21R-1802-13,TCGA-BR-4369-01A-01R-1157-13,TCGA-VQ-A8P2-01A-11R-A36D-31,TCGA-IP-7968-11A-01R-2203-13,TCGA-HU-8238-11A-01R-2343-13,TCGA-IN-A6RL-01A-11R-A32D-31,TCGA-HU-A4H4-01A-21R-A251-31,TCGA-IN-7806-11A-01R-2055-13,TCGA-D7-6527-01A-11R-1802-13,TCGA-HU-A4H8-01A-11R-A251-31,TCGA-BR-7197-01A-11R-2203-13,TCGA-3M-AB46-01A-11R-A414-31,TCGA-BR-4363-01A-01R-1157-13,TCGA-BR-7722-01A-31R-2203-13,TCGA-CD-5801-01A-11R-1602-13,TCGA-CG-5719-01A-11R-1602-13,TCGA-BR-8678-01A-11R-2402-13,TCGA-IN-A6RO-01A-12R-A33Y-31,TCGA-VQ-AA6F-01A-31R-A414-31,TCGA-CG-4304-01A-01R-1157-13,TCGA-BR-8485-01A-11R-2402-13,TCGA-KB-A6F7-01A-12R-A32D-31,TCGA-BR-4370-01A-01R-1157-13,TCGA-CG-5733-11A-01R-1602-13,TCGA-CG-5722-11A-02R-1602-13,TCGA-CG-4462-01A-01R-1157-13,TCGA-CD-A486-01A-11R-A24K-31,TCGA-VQ-A8PX-01A-12R-A414-31,TCGA-HF-7133-01A-11R-2055-13,TCGA-BR-6801-01A-11R-1884-13,TCGA-CG-5722-01A-21R-1602-13,TCGA-FP-A9TM-01A-11R-A39E-31,TCGA-BR-7196-01A-11R-2055-13,TCGA-IN-A6RJ-01A-21R-A33Y-31,TCGA-BR-4357-01A-01R-1157-13,TCGA-D7-8578-01A-21R-2343-13,TCGA-VQ-A91E-01A-31R-A414-31,TCGA-HU-A4GP-01A-11R-A251-31,TCGA-BR-A4CR-01A-11R-A24K-31,TCGA-KB-A93H-01A-11R-A39E-31,TCGA-BR-A4QL-01A-31R-A251-31,TCGA-BR-A4J8-01A-11R-A251-31,TCGA-BR-8384-01A-21R-2402-13,TCGA-CG-5720-11A-01R-1602-13,TCGA-VQ-AA6K-01A-11R-A414-31,TCGA-FP-A4BF-01A-12R-A36D-31,TCGA-VQ-A924-01A-11R-A414-31,TCGA-R5-A805-01A-11R-A36D-31,TCGA-RD-A7BW-01A-11R-A32D-31,TCGA-BR-6710-01A-11R-1884-13,TCGA-BR-8295-01A-11R-2343-13,TCGA-IN-AB1V-01A-21R-A414-31,TCGA-HU-A4H0-01A-11R-A251-31,TCGA-CG-4305-01A-01R-1157-13,TCGA-BR-8687-01A-11R-2402-13,TCGA-CD-8532-01A-11R-2343-13,TCGA-CG-4466-01A-01R-1157-13,TCGA-RD-A7BT-01A-11R-A33Y-31,TCGA-VQ-A91A-01A-11R-A414-31,TCGA-BR-A4IV-01A-31R-A251-31,TCGA-D7-A74A-01A-11R-A32D-31,TCGA-VQ-A8E3-01A-11R-A39E-31,TCGA-BR-6454-11A-01R-1802-13,TCGA-BR-A4J4-01A-12R-A251-31,TCGA-BR-8368-01A-11R-2343-13,TCGA-D7-8579-01A-11R-2343-13,TCGA-F1-6875-01A-11R-2055-13,TCGA-CD-8525-01A-11R-2343-13,TCGA-D7-A4YU-01A-21R-A251-31,TCGA-BR-8286-01A-12R-2343-13,TCGA-RD-A8N6-01A-11R-A36D-31,TCGA-RD-A7C1-01A-11R-A32D-31,TCGA-BR-A4J5-01A-21R-A251-31,TCGA-BR-8365-01A-21R-2343-13,TCGA-RD-A8MW-01A-11R-A36D-31,TCGA-VQ-A91V-01A-11R-A414-31,TCGA-BR-8372-01A-11R-2343-13,TCGA-CD-8524-01A-11R-2343-13,TCGA-VQ-A8DU-01A-11R-A36D-31,TCGA-R5-A7O7-01A-11R-A33Y-31,TCGA-VQ-A8PD-01A-11R-A414-31,TCGA-CD-A48A-01A-12R-A36D-31,TCGA-CG-5724-01A-11R-1602-13,TCGA-FP-7735-01A-11R-2055-13,TCGA-VQ-A91N-01A-11R-A414-31,TCGA-BR-7958-01A-21R-2343-13,TCGA-CG-5725-01A-11R-1602-13,TCGA-VQ-A925-01A-11R-A414-31,TCGA-CD-8534-01A-11R-2343-13,TCGA-HU-A4GP-11A-21R-A251-31,TCGA-VQ-A8PM-01A-21R-A414-31,TCGA-D7-A748-01A-12R-A32D-31,TCGA-CG-4301-01A-01R-1157-13,TCGA-HF-7132-01A-11R-2055-13,TCGA-IN-7808-01A-11R-2203-13,TCGA-HU-8608-01A-11R-2402-13,TCGA-CG-5734-11A-01R-1602-13,TCGA-HU-A4GU-01A-11R-A251-31,TCGA-VQ-A8PC-01A-11R-A39E-31,TCGA-CG-4437-01A-01R-1802-13,TCGA-CD-5813-01A-11R-1602-13,TCGA-EQ-8122-01A-11R-2343-13,TCGA-FP-8209-01A-11R-2343-13,TCGA-BR-A44T-01A-32R-A24K-31,TCGA-F1-6177-01A-11R-1802-13,TCGA-VQ-A8PJ-01A-11R-A414-31,TCGA-IN-A6RR-01A-12R-A32D-31,TCGA-BR-7715-11A-01R-2055-13,TCGA-BR-8297-01A-12R-2343-13,TCGA-BR-7959-01A-11R-2343-13,TCGA-BR-4361-01A-01R-1157-13,TCGA-CD-8533-01A-11R-2343-13,TCGA-BR-7901-01A-11R-2203-13,TCGA-BR-4366-01A-01R-1157-13,TCGA-R5-A7ZF-01A-11R-A354-31,TCGA-VQ-A8PH-01A-12R-A414-31,TCGA-BR-6457-11A-01R-1802-13,TCGA-D7-6528-01A-11R-1802-13,TCGA-CG-5728-11A-01R-1602-13,TCGA-BR-8590-01A-11R-2402-13,TCGA-BR-6802-11A-01R-1884-13,TCGA-3M-AB47-01A-22R-A414-31,TCGA-BR-8367-01A-11R-2343-13,TCGA-VQ-AA68-01A-11R-A414-31,TCGA-BR-8289-01A-11R-2343-13,TCGA-BR-4253-01A-01R-1131-13,TCGA-CD-5804-01A-12R-2055-13,TCGA-IN-8663-11A-01R-2402-13,TCGA-VQ-A8PO-01A-11R-A414-31,TCGA-BR-6458-01A-11R-1802-13,TCGA-CG-4436-01A-01R-1157-13,TCGA-D7-8576-01A-11R-2343-13,TCGA-VQ-A8P8-01A-11R-A39E-31,TCGA-CG-5726-01A-11R-1602-13,TCGA-VQ-AA6J-01A-11R-A414-31,TCGA-RD-A8N2-01A-12R-A36D-31,TCGA-CD-8526-01A-11R-2343-13,TCGA-HU-A4GY-01A-21R-A24K-31,TCGA-D7-6519-01A-11R-1802-13,TCGA-CD-5799-01A-11R-1602-13,TCGA-CG-5734-01A-11R-1602-13,TCGA-B7-A5TN-01A-21R-A31P-31,TCGA-BR-4280-01A-01R-1131-13,TCGA-HU-8602-01A-11R-2402-13,TCGA-VQ-A91D-01A-11R-A414-31,TCGA-IN-AB1V-11A-11R-A414-31,TCGA-BR-8380-01A-11R-2343-13,TCGA-BR-8680-01A-11R-2402-13,TCGA-HU-A4GT-01A-21R-A251-31,TCGA-B7-A5TJ-01A-11R-A31P-31,TCGA-HU-8238-01A-11R-2343-13,TCGA-VQ-AA69-01A-11R-A414-31,TCGA-D7-6525-01A-11R-1802-13,TCGA-BR-7851-01A-11R-2203-13,TCGA-CD-8527-01A-11R-2343-13,TCGA-BR-8591-01A-11R-2402-13,TCGA-BR-8676-01A-11R-2402-13,TCGA-BR-7703-11A-01R-2055-13,TCGA-ZQ-A9CR-01A-11R-A39E-31,TCGA-IN-A7NT-01A-21R-A354-31,TCGA-HU-A4G3-01A-11R-A24K-31,TCGA-BR-A44U-01A-11R-A36D-31,TCGA-FP-A8CX-01A-11R-A36D-31,TCGA-CG-4460-01A-01R-1157-13,TCGA-BR-8366-01A-11R-2343-13,TCGA-D7-A6F0-01A-11R-A31P-31,TCGA-SW-A7EB-01A-11R-A354-31,TCGA-HU-A4H5-01A-21R-A251-31,TCGA-HU-A4GJ-01A-11R-A251-31,TCGA-KB-A93J-01A-11R-A39E-31,TCGA-HU-A4GQ-01A-11R-A36D-31,TCGA-BR-8060-11A-01R-2343-13,TCGA-BR-8296-01A-11R-2343-13,TCGA-HJ-7597-01A-21R-2203-13,TCGA-CG-4440-01A-01R-1157-13,TCGA-CG-4469-01A-01R-1157-13,TCGA-VQ-A91K-01A-11R-A414-31,TCGA-BR-4257-01A-01R-1131-13
SampleType,tumor,tumor,tumor,normal,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,normal,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,normal,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,normal,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,normal,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,normal,tumor,tumor,tumor,tumor,tumor,tumor,normal,tumor,tumor,normal,normal,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,normal,normal,tumor,tumor,normal,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,normal,tumor,tumor,tumor,tumor,tumor,tumor,normal,normal,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,normal,normal,tumor,tumor,normal,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,normal,normal,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,normal,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,normal,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,normal,tumor,tumor,tumor,tumor,tumor,tumor,normal,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,normal,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,normal,tumor,normal,tumor,normal,tumor,tumor,tumor,tumor,tumor,tumor,normal,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,normal,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,normal,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,normal,tumor,tumor,tumor,tumor,tumor,tumor
ANO1,322.3932041664,181.6851030332,106.8644089815,45.3470808407,82.9720388089,61.0916372925,146.5853432202,27.1010394746,16.3642932735,656.2242464606,99.6022892041,151.3799131105,49.2377174853,24.8336991042,243.9386286248,285.8038767565,176.2188731682,45.2893810637,109.5097213744,21.1162098121,57.5637365458,160.2800533459,17.0631972265,60.8829329605,152.2416073003,152.3889712164,175.9275757167,100.7761646587,80.7637739208,37.7892886795,266.4193060823,40.6000427872,396.5079404291,115.0773636696,129.4521964088,69.6321928646,52.3161297304,94.2847379986,64.47527501,75.2862402256,31.8362442824,116.7260970348,215.1481707319,87.4841554532,60.1462475104,185.3978565537,34.2286275037,65.7538298533,465.561321842,96.7670130114,86.5974009377,56.1258957238,119.7000422406,6.2355061711,85.7509691307,50.3270577121,144.5503297892,106.4142541539,249.5623615306,23.9032838336,67.3295274723,13.9265605281,196.0725057738,16.5689139715,149.0301807033,27.5927557093,212.121548452,168.0854693646,53.8013181744,85.1880168258,18.8835568561,145.682777538,78.8595155782,278.3312818706,143.6903652401,126.4241996651,778.8784891817,104.4698194612,130.9325233707,45.0198423302,54.3348424619,32.3437879456,50.7659078247,21.3801626837,72.3116880347,89.4011053563,35.4213009535,21.2597577065,21.685398459,44.8523443573,188.9458618739,8.912429822,26.4030868581,103.6663356619,27.5409561923,299.3800403032,191.5257448911,137.8660523338,135.4749082633,203.5645401029,94.3678614853,84.6397974705,20.2800276547,57.1238101138,90.0923219037,124.1468599661,120.2188434477,58.0406174049,110.6106996989,219.8120487452,78.1510194256,84.7701361051,232.9581941761,53.1562736689,200.1162434998,14.7189063909,759.8414175015,37.0590844609,92.9318456375,255.7756759961,33.6365632318,31.4239784319,41.3834067145,231.0630134351,39.4092634123,310.8917555691,3.233144953,110.6353545061,284.8799478286,43.6364008847,53.6007068293,153.4036657914,46.3746480571,73.5075924226,16.3016125758,100.0544681205,56.87746995,141.4751623965,59.3500417832,76.4720838432,112.8080667618,108.4354526812,180.5874760738,36.065287404,39.3849416355,84.2242525044,46.5152643266,34.9319114481,40.8105098991,127.8070548649,46.9573038868,185.7749671471,247.3004035181,344.5532482284,76.4268156079,148.0556057859,79.9159482199,202.2211595127,90.6121956251,56.5111924823,272.7902833939,95.2626555427,77.3476675056,190.4692505496,111.5319479549,20.1668689536,81.5596204481,4.6526699025,39.5579152438,29.5693897677,148.0381989966,48.2792401394,56.0129107937,12.5285502581,192.7743121605,97.1515094758,23.9795632316,259.8662669978,92.8839817071,60.0078398562,951.5597973295,85.3043485583,184.7434480185,120.8514333703,37.6035700602,99.7969138778,188.3288733028,243.8584321426,59.9518583727,30.8110276422,236.4913307921,186.342026245,1696.4665063437,227.4118109207,19.4220115607,4.617974741,44.4545220798,46.4737187288,29.807515254,22.4582661982,134.4948438536,239.5980638778,70.4514971275,1114.3363855438,80.897946742,761.3240333589,96.2907893672,66.5032664921,78.6196154287,67.2043779228,135.4655783998,24.1859435,66.3994150356,172.6105028498,14.6215601851,17.4073044172,50.8599281218,49.3160283239,68.9857131685,53.2151072475,233.863061138,222.9313414362,25.9831316796,169.4125506301,10.8073285865,147.7347154232,340.2380592714,20.815509566,41.0923899656,274.0551267845,55.2539736469,279.3871807858,55.6173803814,12.5737697469,277.0056777696,12.3518901103,11.6880103517,36.9957401864,84.8989263515,85.4338004929,193.6984876685,193.610530638,168.7173092242,139.0319160257,143.4345716982,93.9741595121,474.5758681229,58.2136962078,60.7252248775,72.9181678049,9.5065987624,32.8454164429,82.300111403,199.4548130839,109.9510515191,135.4519675826,252.7088043204,34.8224718969,78.6831616915,127.9182107592,209.9553102597,137.7412188078,34.3533326425,58.5192459194,111.1141517401,229.2777240967,224.7712293508,16.3282679183,224.5469496654,180.1003706659,183.8635049187,103.5260760957,88.5697128269,541.9675969788,165.4615649035,213.2281772463,175.7970859048,111.1124273559,83.4233141369,11.5921837793,81.2911667148,87.6221084983,216.0276870596,123.3564928206,226.8136454493,131.0839707913,131.7097575122,117.0767459746,47.1227184899,84.0991273294,462.0354102725,155.7863361838,33.620672148,241.0016615899,147.0246290682,6.5427293033,28.1125761932,52.6604160833,325.7862473114,97.8195083081,285.0058255256,134.6562771123,315.9588013844,53.5189330881,68.8769972953,13.981165027,147.1070124023,86.8170030603,157.0146813436,147.9147135544,17.0976522887,208.6660756977,19.7357209661,296.5482779303,98.7590781686,14.900432772,184.9306499179,68.8897257878,95.0385236152,65.6308672907,60.54667969,64.5341135779,93.9589542,122.4600191794,46.0263978491,22.1648041109,14.4310332923,91.1140212282,32.0660966379,53.0609070194,274.5428675932,87.9172073934,53.918794001,21.3498212149,176.8764252348,509.1439415255,31.0234905883,111.7210714317,146.4041241297,124.7263364983,284.6697991861,67.411294441,109.3986645528,23.1682466049,32.0013105587,45.490576804,9.6058337945,47.8224788667,98.7888940458,60.4621247777,109.4582738152,196.317875817,467.5186137365,90.0496095223,165.7682038608,34.3291085553,30.1833430185,59.3467349271,107.7704639074,9.642089458,161.8975806961,176.0605857333,293.9184548406,1142.4623559111,62.1618143338,22.4792392992,27.283829594,103.3449674853,33.8636001021,20.6387277322,255.8792095736,21.2944274868,84.2313740447,62.0227044662,17.6556371862,143.6125093559,7.0939111051,79.2129927999,254.5262156842,203.67278798,7.7366951327,96.6353217982,316.2751743523,26.6893923159,235.7413690035,17.6023413623,245.1297338249,170.5139728367,459.6660206219,90.2593718626,45.3375572133,133.3588958215,24.6317048411,267.461014656,10.3507064684,48.2121885331,37.5304989322,67.3844602827,106.4722076141,12.2547076099,72.6940095837,297.3613534715,68.7077576569,97.9379177314,193.7489109102,35.6482654205,136.6049972533
